Image_name,Plane,Train
00128-2743074784,Fetal abdomen,1
00129-2743074785,Fetal abdomen,1
00130-2743074786,Fetal abdomen,1
00131-2743074787,Fetal abdomen,1
00132-2743074788,Fetal abdomen,1
00133-2743074789,Fetal abdomen,1
00134-2743074790,Fetal abdomen,1
00135-2743074791,Fetal abdomen,1
00136-2743074792,Fetal abdomen,1
00137-2743074793,Fetal abdomen,1
00138-2743074794,Fetal abdomen,1
00139-2743074795,Fetal abdomen,1
00140-2743074796,Fetal abdomen,1
00141-2743074797,Fetal abdomen,1
00142-2743074798,Fetal abdomen,1
00143-2743074799,Fetal abdomen,1
00144-2743074800,Fetal abdomen,1
00145-2743074801,Fetal abdomen,1
00146-2743074802,Fetal abdomen,1
00147-2743074803,Fetal abdomen,1
00148-2743074804,Fetal abdomen,1
00149-2743074805,Fetal abdomen,1
00150-2743074806,Fetal abdomen,1
00151-2743074807,Fetal abdomen,1
00152-2743074808,Fetal abdomen,1
00153-2743074809,Fetal abdomen,1
00154-2743074810,Fetal abdomen,1
00155-2743074811,Fetal abdomen,1
00156-2743074812,Fetal abdomen,1
00157-2743074813,Fetal abdomen,1
00158-2743074814,Fetal abdomen,1
00159-2743074815,Fetal abdomen,1
00160-2743074816,Fetal abdomen,1
00161-2743074817,Fetal abdomen,1
00162-2743074818,Fetal abdomen,1
00163-2743074819,Fetal abdomen,1
00164-2743074820,Fetal abdomen,1
00165-2743074821,Fetal abdomen,1
00166-2743074822,Fetal abdomen,1
00167-2743074823,Fetal abdomen,1
00168-2743074824,Fetal abdomen,1
00169-2743074825,Fetal abdomen,1
00170-2743074826,Fetal abdomen,1
00171-2743074827,Fetal abdomen,1
00172-2743074828,Fetal abdomen,1
00173-2743074829,Fetal abdomen,1
00174-2743074830,Fetal abdomen,1
00175-2743074831,Fetal abdomen,1
00176-2743074832,Fetal abdomen,1
00177-2743074833,Fetal abdomen,1
00178-2743074834,Fetal abdomen,1
00179-2743074835,Fetal abdomen,1
00180-2743074836,Fetal abdomen,1
00181-2743074837,Fetal abdomen,1
00182-2743074838,Fetal abdomen,1
00183-2743074839,Fetal abdomen,1
00184-2743074840,Fetal abdomen,1
00185-2743074841,Fetal abdomen,1
00186-2743074842,Fetal abdomen,1
00187-2743074843,Fetal abdomen,1
00188-2743074844,Fetal abdomen,1
00189-2743074845,Fetal abdomen,1
00190-2743074846,Fetal abdomen,1
00191-2743074847,Fetal abdomen,1
00192-2743074848,Fetal abdomen,1
00193-2743074849,Fetal abdomen,1
00194-2743074850,Fetal abdomen,1
00195-2743074851,Fetal abdomen,1
00196-2743074852,Fetal abdomen,1
00197-2743074853,Fetal abdomen,1
00198-2743074854,Fetal abdomen,1
00199-2743074855,Fetal abdomen,1
00000-2647490374,Fetal abdomen,1
00001-2647490375,Fetal abdomen,1
00002-2647490376,Fetal abdomen,1
00003-2647490377,Fetal abdomen,1
00004-2647490378,Fetal abdomen,1
00005-2647490379,Fetal abdomen,1
00006-2647490380,Fetal abdomen,1
00007-2647490381,Fetal abdomen,1
00008-2647490382,Fetal abdomen,1
00009-2647490383,Fetal abdomen,1
00010-2647490384,Fetal abdomen,1
00011-2647490385,Fetal abdomen,1
00012-2647490386,Fetal abdomen,1
00013-2647490387,Fetal abdomen,1
00014-2647490388,Fetal abdomen,1
00015-2647490389,Fetal abdomen,1
00016-2647490390,Fetal abdomen,1
00017-2647490391,Fetal abdomen,1
00018-2647490392,Fetal abdomen,1
00019-2647490393,Fetal abdomen,1
00020-2647490394,Fetal abdomen,1
00021-2647490395,Fetal abdomen,1
00022-2647490396,Fetal abdomen,1
00023-2647490397,Fetal abdomen,1
00024-2647490398,Fetal abdomen,1
00025-2647490399,Fetal abdomen,1
00026-2647490400,Fetal abdomen,1
00027-2647490401,Fetal abdomen,1
00028-2647490402,Fetal abdomen,1
00029-2647490403,Fetal abdomen,1
00030-2647490404,Fetal abdomen,1
00031-2647490405,Fetal abdomen,1
00032-2647490406,Fetal abdomen,1
00033-2647490407,Fetal abdomen,1
00034-2647490408,Fetal abdomen,1
00035-2647490409,Fetal abdomen,1
00036-2647490410,Fetal abdomen,1
00037-2647490411,Fetal abdomen,1
00038-2647490412,Fetal abdomen,1
00039-2647490413,Fetal abdomen,1
00040-2647490414,Fetal abdomen,1
00041-2647490415,Fetal abdomen,1
00042-2647490416,Fetal abdomen,1
00043-2647490417,Fetal abdomen,1
00044-2647490418,Fetal abdomen,1
00045-2647490419,Fetal abdomen,1
00046-2647490420,Fetal abdomen,1
00047-2647490421,Fetal abdomen,1
00048-2647490422,Fetal abdomen,1
00049-2647490423,Fetal abdomen,1
00050-2647490424,Fetal abdomen,1
00051-2647490425,Fetal abdomen,1
00052-2647490426,Fetal abdomen,1
00053-2647490427,Fetal abdomen,1
00054-2647490428,Fetal abdomen,1
00055-2647490429,Fetal abdomen,1
00056-2647490430,Fetal abdomen,1
00057-2647490431,Fetal abdomen,1
00058-2647490432,Fetal abdomen,1
00059-2647490433,Fetal abdomen,1
00060-2647490434,Fetal abdomen,1
00061-2647490435,Fetal abdomen,1
00062-2647490436,Fetal abdomen,1
00063-2647490437,Fetal abdomen,1
00064-2647490438,Fetal abdomen,1
00065-2647490439,Fetal abdomen,1
00066-2647490440,Fetal abdomen,1
00067-2647490441,Fetal abdomen,1
00068-2647490442,Fetal abdomen,1
00069-2647490443,Fetal abdomen,1
00070-2647490444,Fetal abdomen,1
00071-2647490445,Fetal abdomen,1
00072-2647490446,Fetal abdomen,1
00073-2647490447,Fetal abdomen,1
00074-2647490448,Fetal abdomen,1
00075-2647490449,Fetal abdomen,1
00076-2647490450,Fetal abdomen,1
00077-2647490451,Fetal abdomen,1
00078-2647490452,Fetal abdomen,1
00079-2647490453,Fetal abdomen,1
00080-2647490454,Fetal abdomen,1
00081-2647490455,Fetal abdomen,1
00082-2647490456,Fetal abdomen,1
00083-2647490457,Fetal abdomen,1
00084-2647490458,Fetal abdomen,1
00085-2647490459,Fetal abdomen,1
00086-2647490460,Fetal abdomen,1
00087-2647490461,Fetal abdomen,1
00088-2647490462,Fetal abdomen,1
00089-2647490463,Fetal abdomen,1
00090-2647490464,Fetal abdomen,1
00091-2647490465,Fetal abdomen,1
00092-2647490466,Fetal abdomen,1
00093-2647490467,Fetal abdomen,1
00094-2647490468,Fetal abdomen,1
00095-2647490469,Fetal abdomen,1
00096-2647490470,Fetal abdomen,1
00097-2647490471,Fetal abdomen,1
00098-2647490472,Fetal abdomen,1
00099-2647490473,Fetal abdomen,1
00100-2647490474,Fetal abdomen,1
00101-2647490475,Fetal abdomen,1
00102-2647490476,Fetal abdomen,1
00103-2647490477,Fetal abdomen,1
00104-2647490478,Fetal abdomen,1
00105-2647490479,Fetal abdomen,1
00106-2647490480,Fetal abdomen,1
00107-2647490481,Fetal abdomen,1
00108-2647490482,Fetal abdomen,1
00109-2647490483,Fetal abdomen,1
00110-2647490484,Fetal abdomen,1
00111-2647490485,Fetal abdomen,1
00112-2647490486,Fetal abdomen,1
00113-2647490487,Fetal abdomen,1
00114-2647490488,Fetal abdomen,1
00115-2647490489,Fetal abdomen,1
00116-2647490490,Fetal abdomen,1
00117-2647490491,Fetal abdomen,1
00118-2647490492,Fetal abdomen,1
00119-2647490493,Fetal abdomen,1
00120-2647490494,Fetal abdomen,1
00121-2647490495,Fetal abdomen,1
00122-2647490496,Fetal abdomen,1
00123-2647490497,Fetal abdomen,1
00124-2647490498,Fetal abdomen,1
00125-2647490499,Fetal abdomen,1
00126-2647490500,Fetal abdomen,1
00127-2647490501,Fetal abdomen,1
00128-2647490502,Fetal abdomen,1
00129-2647490503,Fetal abdomen,1
00130-2647490504,Fetal abdomen,1
00131-2647490505,Fetal abdomen,1
00132-2647490506,Fetal abdomen,1
00133-2647490507,Fetal abdomen,1
00134-2647490508,Fetal abdomen,1
00135-2647490509,Fetal abdomen,1
00136-2647490510,Fetal abdomen,1
00137-2647490511,Fetal abdomen,1
00138-2647490512,Fetal abdomen,1
00139-2647490513,Fetal abdomen,1
00140-2647490514,Fetal abdomen,1
00141-2647490515,Fetal abdomen,1
00142-2647490516,Fetal abdomen,1
00143-2647490517,Fetal abdomen,1
00144-2647490518,Fetal abdomen,1
00145-2647490519,Fetal abdomen,1
00146-2647490520,Fetal abdomen,1
00147-2647490521,Fetal abdomen,1
00148-2647490522,Fetal abdomen,1
00149-2647490523,Fetal abdomen,1
00150-2647490524,Fetal abdomen,1
00151-2647490525,Fetal abdomen,1
00152-2647490526,Fetal abdomen,1
00153-2647490527,Fetal abdomen,1
00154-2647490528,Fetal abdomen,1
00155-2647490529,Fetal abdomen,1
00156-2647490530,Fetal abdomen,1
00157-2647490531,Fetal abdomen,1
00158-2647490532,Fetal abdomen,1
00159-2647490533,Fetal abdomen,1
00160-2647490534,Fetal abdomen,1
00161-2647490535,Fetal abdomen,1
00162-2647490536,Fetal abdomen,1
00163-2647490537,Fetal abdomen,1
00164-2647490538,Fetal abdomen,1
00165-2647490539,Fetal abdomen,1
00166-2647490540,Fetal abdomen,1
00167-2647490541,Fetal abdomen,1
00168-2647490542,Fetal abdomen,1
00169-2647490543,Fetal abdomen,1
00170-2647490544,Fetal abdomen,1
00171-2647490545,Fetal abdomen,1
00172-2647490546,Fetal abdomen,1
00173-2647490547,Fetal abdomen,1
00174-2647490548,Fetal abdomen,1
00175-2647490549,Fetal abdomen,1
00176-2647490550,Fetal abdomen,1
00177-2647490551,Fetal abdomen,1
00178-2647490552,Fetal abdomen,1
00179-2647490553,Fetal abdomen,1
00180-2647490554,Fetal abdomen,1
00181-2647490555,Fetal abdomen,1
00182-2647490556,Fetal abdomen,1
00183-2647490557,Fetal abdomen,1
00184-2647490558,Fetal abdomen,1
00185-2647490559,Fetal abdomen,1
00186-2647490560,Fetal abdomen,1
00187-2647490561,Fetal abdomen,1
00188-2647490562,Fetal abdomen,1
00189-2647490563,Fetal abdomen,1
00190-2647490564,Fetal abdomen,1
00191-2647490565,Fetal abdomen,1
00192-2647490566,Fetal abdomen,1
00193-2647490567,Fetal abdomen,1
00194-2647490568,Fetal abdomen,1
00195-2647490569,Fetal abdomen,1
00196-2647490570,Fetal abdomen,1
00197-2647490571,Fetal abdomen,1
00198-2647490572,Fetal abdomen,1
00199-2647490573,Fetal abdomen,1
00200-2647490574,Fetal abdomen,1
00201-2647490575,Fetal abdomen,1
00202-2647490576,Fetal abdomen,1
00203-2647490577,Fetal abdomen,1
00204-2647490578,Fetal abdomen,1
00205-2647490579,Fetal abdomen,1
00206-2647490580,Fetal abdomen,1
00207-2647490581,Fetal abdomen,1
00208-2647490582,Fetal abdomen,1
00209-2647490583,Fetal abdomen,1
00210-2647490584,Fetal abdomen,1
00211-2647490585,Fetal abdomen,1
00212-2647490586,Fetal abdomen,1
00213-2647490587,Fetal abdomen,1
00214-2647490588,Fetal abdomen,1
00215-2647490589,Fetal abdomen,1
00216-2647490590,Fetal abdomen,1
00217-2647490591,Fetal abdomen,1
00218-2647490592,Fetal abdomen,1
00219-2647490593,Fetal abdomen,1
00220-2647490594,Fetal abdomen,1
00221-2647490595,Fetal abdomen,1
00222-2647490596,Fetal abdomen,1
00223-2647490597,Fetal abdomen,1
00224-2647490598,Fetal abdomen,1
00225-2647490599,Fetal abdomen,1
00226-2647490600,Fetal abdomen,1
00227-2647490601,Fetal abdomen,1
00228-2647490602,Fetal abdomen,1
00229-2647490603,Fetal abdomen,1
00230-2647490604,Fetal abdomen,1
00231-2647490605,Fetal abdomen,1
00232-2647490606,Fetal abdomen,1
00233-2647490607,Fetal abdomen,1
00234-2647490608,Fetal abdomen,1
00235-2647490609,Fetal abdomen,1
00236-2647490610,Fetal abdomen,1
00237-2647490611,Fetal abdomen,1
00238-2647490612,Fetal abdomen,1
00239-2647490613,Fetal abdomen,1
00240-2647490614,Fetal abdomen,1
00241-2647490615,Fetal abdomen,1
00242-2647490616,Fetal abdomen,1
00243-2647490617,Fetal abdomen,1
00244-2647490618,Fetal abdomen,1
00245-2647490619,Fetal abdomen,1
00246-2647490620,Fetal abdomen,1
00247-2647490621,Fetal abdomen,1
00248-2647490622,Fetal abdomen,1
00249-2647490623,Fetal abdomen,1
00250-2647490624,Fetal abdomen,1
00251-2647490625,Fetal abdomen,1
00252-2647490626,Fetal abdomen,1
00253-2647490627,Fetal abdomen,1
00254-2647490628,Fetal abdomen,1
00255-2647490629,Fetal abdomen,1
00256-2647490630,Fetal abdomen,1
00257-2647490631,Fetal abdomen,1
00258-2647490632,Fetal abdomen,1
00259-2647490633,Fetal abdomen,1
00260-2647490634,Fetal abdomen,1
00261-2647490635,Fetal abdomen,1
00262-2647490636,Fetal abdomen,1
00263-2647490637,Fetal abdomen,1
00264-2647490638,Fetal abdomen,1
00265-2647490639,Fetal abdomen,1
00266-2647490640,Fetal abdomen,1
00267-2647490641,Fetal abdomen,1
00268-2647490642,Fetal abdomen,1
00269-2647490643,Fetal abdomen,1
00270-2647490644,Fetal abdomen,1
00271-2647490645,Fetal abdomen,1
00272-2647490646,Fetal abdomen,1
00273-2647490647,Fetal abdomen,1
00274-2647490648,Fetal abdomen,1
00275-2647490649,Fetal abdomen,1
00276-2647490650,Fetal abdomen,1
00277-2647490651,Fetal abdomen,1
00278-2647490652,Fetal abdomen,1
00279-2647490653,Fetal abdomen,1
00280-2647490654,Fetal abdomen,1
00281-2647490655,Fetal abdomen,1
00282-2647490656,Fetal abdomen,1
00283-2647490657,Fetal abdomen,1
00284-2647490658,Fetal abdomen,1
00285-2647490659,Fetal abdomen,1
00286-2647490660,Fetal abdomen,1
00287-2647490661,Fetal abdomen,1
00288-2647490662,Fetal abdomen,1
00289-2647490663,Fetal abdomen,1
00290-2647490664,Fetal abdomen,1
00291-2647490665,Fetal abdomen,1
00292-2647490666,Fetal abdomen,1
00293-2647490667,Fetal abdomen,1
00294-2647490668,Fetal abdomen,1
00295-2647490669,Fetal abdomen,1
00296-2647490670,Fetal abdomen,1
00297-2647490671,Fetal abdomen,1
00298-2647490672,Fetal abdomen,1
00299-2647490673,Fetal abdomen,1
00300-2647490674,Fetal abdomen,1
00301-2647490675,Fetal abdomen,1
00302-2647490676,Fetal abdomen,1
00303-2647490677,Fetal abdomen,1
00304-2647490678,Fetal abdomen,1
00305-2647490679,Fetal abdomen,1
00306-2647490680,Fetal abdomen,1
00307-2647490681,Fetal abdomen,1
00308-2647490682,Fetal abdomen,1
00309-2647490683,Fetal abdomen,1
00310-2647490684,Fetal abdomen,1
00311-2647490685,Fetal abdomen,1
00312-2647490686,Fetal abdomen,1
00313-2647490687,Fetal abdomen,1
00314-2647490688,Fetal abdomen,1
00315-2647490689,Fetal abdomen,1
00316-2647490690,Fetal abdomen,1
00317-2647490691,Fetal abdomen,1
00318-2647490692,Fetal abdomen,1
00319-2647490693,Fetal abdomen,1
00320-2647490694,Fetal abdomen,1
00321-2647490695,Fetal abdomen,1
00322-2647490696,Fetal abdomen,1
00323-2647490697,Fetal abdomen,1
00324-2647490698,Fetal abdomen,1
00325-2647490699,Fetal abdomen,1
00326-2647490700,Fetal abdomen,1
00327-2647490701,Fetal abdomen,1
00328-2647490702,Fetal abdomen,1
00329-2647490703,Fetal abdomen,1
00330-2647490704,Fetal abdomen,1
00331-2647490705,Fetal abdomen,1
00332-2647490706,Fetal abdomen,1
00333-2647490707,Fetal abdomen,1
00334-2647490708,Fetal abdomen,1
00335-2647490709,Fetal abdomen,1
00336-2647490710,Fetal abdomen,1
00337-2647490711,Fetal abdomen,1
00338-2647490712,Fetal abdomen,1
00339-2647490713,Fetal abdomen,1
00340-2647490714,Fetal abdomen,1
00341-2647490715,Fetal abdomen,1
00342-2647490716,Fetal abdomen,1
00343-2647490717,Fetal abdomen,1
00344-2647490718,Fetal abdomen,1
00345-2647490719,Fetal abdomen,1
00346-2647490720,Fetal abdomen,1
00347-2647490721,Fetal abdomen,1
00348-2647490722,Fetal abdomen,1
00349-2647490723,Fetal abdomen,1
00350-2647490724,Fetal abdomen,1
00351-2647490725,Fetal abdomen,1
00352-2647490726,Fetal abdomen,1
00353-2647490727,Fetal abdomen,1
00354-2647490728,Fetal abdomen,1
00355-2647490729,Fetal abdomen,1
00356-2647490730,Fetal abdomen,1
00357-2647490731,Fetal abdomen,1
00358-2647490732,Fetal abdomen,1
00359-2647490733,Fetal abdomen,1
00360-2647490734,Fetal abdomen,1
00361-2647490735,Fetal abdomen,1
00362-2647490736,Fetal abdomen,1
00363-2647490737,Fetal abdomen,1
00364-2647490738,Fetal abdomen,1
00365-2647490739,Fetal abdomen,1
00366-2647490740,Fetal abdomen,1
00367-2647490741,Fetal abdomen,1
00368-2647490742,Fetal abdomen,1
00369-2647490743,Fetal abdomen,1
00370-2647490744,Fetal abdomen,1
00371-2647490745,Fetal abdomen,1
00372-2647490746,Fetal abdomen,1
00373-2647490747,Fetal abdomen,1
00374-2647490748,Fetal abdomen,1
00375-2647490749,Fetal abdomen,1
00376-2647490750,Fetal abdomen,1
00377-2647490751,Fetal abdomen,1
00378-2647490752,Fetal abdomen,1
00379-2647490753,Fetal abdomen,1
00380-2647490754,Fetal abdomen,1
00381-2647490755,Fetal abdomen,1
00382-2647490756,Fetal abdomen,1
00383-2647490757,Fetal abdomen,1
00384-2647490758,Fetal abdomen,1
00385-2647490759,Fetal abdomen,1
00386-2647490760,Fetal abdomen,1
00387-2647490761,Fetal abdomen,1
00388-2647490762,Fetal abdomen,1
00389-2647490763,Fetal abdomen,1
00390-2647490764,Fetal abdomen,1
00391-2647490765,Fetal abdomen,1
00392-2647490766,Fetal abdomen,1
00393-2647490767,Fetal abdomen,1
00394-2647490768,Fetal abdomen,1
00395-2647490769,Fetal abdomen,1
00396-2647490770,Fetal abdomen,1
00397-2647490771,Fetal abdomen,1
00398-2647490772,Fetal abdomen,1
00399-2647490773,Fetal abdomen,1
00400-379803754,Fetal abdomen,1
00401-379803755,Fetal abdomen,1
00402-379803756,Fetal abdomen,1
00403-379803757,Fetal abdomen,1
00404-379803758,Fetal abdomen,1
00405-379803759,Fetal abdomen,1
00406-379803760,Fetal abdomen,1
00407-379803761,Fetal abdomen,1
00408-379803762,Fetal abdomen,1
00409-379803763,Fetal abdomen,1
00410-379803764,Fetal abdomen,1
00411-379803765,Fetal abdomen,1
00412-379803766,Fetal abdomen,1
00413-379803767,Fetal abdomen,1
00414-379803768,Fetal abdomen,1
00415-379803769,Fetal abdomen,1
00416-379803770,Fetal abdomen,1
00417-379803771,Fetal abdomen,1
00418-379803772,Fetal abdomen,1
00419-379803773,Fetal abdomen,1
00420-379803774,Fetal abdomen,1
00421-379803775,Fetal abdomen,1
00422-379803776,Fetal abdomen,1
00423-379803777,Fetal abdomen,1
00424-379803778,Fetal abdomen,1
00425-379803779,Fetal abdomen,1
00426-379803780,Fetal abdomen,1
00427-379803781,Fetal abdomen,1
00428-379803782,Fetal abdomen,1
00429-379803783,Fetal abdomen,1
00430-379803784,Fetal abdomen,1
00431-379803785,Fetal abdomen,1
00432-379803786,Fetal abdomen,1
00433-379803787,Fetal abdomen,1
00434-379803788,Fetal abdomen,1
00435-379803789,Fetal abdomen,1
00436-379803790,Fetal abdomen,1
00437-379803791,Fetal abdomen,1
00438-379803792,Fetal abdomen,1
00439-379803793,Fetal abdomen,1
00440-379803794,Fetal abdomen,1
00441-379803795,Fetal abdomen,1
00442-379803796,Fetal abdomen,1
00443-379803797,Fetal abdomen,1
00444-379803798,Fetal abdomen,1
00445-379803799,Fetal abdomen,1
00446-379803800,Fetal abdomen,1
00447-379803801,Fetal abdomen,1
00448-379803802,Fetal abdomen,1
00449-379803803,Fetal abdomen,1
00450-379803804,Fetal abdomen,1
00451-379803805,Fetal abdomen,1
00452-379803806,Fetal abdomen,1
00453-379803807,Fetal abdomen,1
00454-379803808,Fetal abdomen,1
00455-379803809,Fetal abdomen,1
00456-379803810,Fetal abdomen,1
00457-379803811,Fetal abdomen,1
00458-379803812,Fetal abdomen,1
00459-379803813,Fetal abdomen,1
00460-379803814,Fetal abdomen,1
00461-379803815,Fetal abdomen,1
00462-379803816,Fetal abdomen,1
00463-379803817,Fetal abdomen,1
00464-379803818,Fetal abdomen,1
00465-379803819,Fetal abdomen,1
00466-379803820,Fetal abdomen,1
00467-379803821,Fetal abdomen,1
00468-379803822,Fetal abdomen,1
00469-379803823,Fetal abdomen,1
00470-379803824,Fetal abdomen,1
00471-379803825,Fetal abdomen,1
00472-379803826,Fetal abdomen,1
00473-379803827,Fetal abdomen,1
00474-379803828,Fetal abdomen,1
00475-379803829,Fetal abdomen,1
00476-379803830,Fetal abdomen,1
00477-379803831,Fetal abdomen,1
00478-379803832,Fetal abdomen,1
00479-379803833,Fetal abdomen,1
00480-379803834,Fetal abdomen,1
00481-379803835,Fetal abdomen,1
00482-379803836,Fetal abdomen,1
00483-379803837,Fetal abdomen,1
00484-379803838,Fetal abdomen,1
00485-379803839,Fetal abdomen,1
00486-379803840,Fetal abdomen,1
00487-379803841,Fetal abdomen,1
00488-379803842,Fetal abdomen,1
00489-379803843,Fetal abdomen,1
00490-379803844,Fetal abdomen,1
00491-379803845,Fetal abdomen,1
00492-379803846,Fetal abdomen,1
00493-379803847,Fetal abdomen,1
00494-379803848,Fetal abdomen,1
00495-379803849,Fetal abdomen,1
00496-379803850,Fetal abdomen,1
00497-379803851,Fetal abdomen,1
00498-379803852,Fetal abdomen,1
00499-379803853,Fetal abdomen,1
00500-379803854,Fetal abdomen,1
00501-379803855,Fetal abdomen,1
00502-379803856,Fetal abdomen,1
00503-379803857,Fetal abdomen,1
00504-379803858,Fetal abdomen,1
00505-379803859,Fetal abdomen,1
00506-379803860,Fetal abdomen,1
00507-379803861,Fetal abdomen,1
00508-379803862,Fetal abdomen,1
00509-379803863,Fetal abdomen,1
00510-379803864,Fetal abdomen,1
00511-379803865,Fetal abdomen,1
00512-379803866,Fetal abdomen,1
00513-379803867,Fetal abdomen,1
00514-379803868,Fetal abdomen,1
00515-379803869,Fetal abdomen,1
00516-379803870,Fetal abdomen,1
00517-379803871,Fetal abdomen,1
00518-379803872,Fetal abdomen,1
00519-379803873,Fetal abdomen,1
00520-379803874,Fetal abdomen,1
00521-379803875,Fetal abdomen,1
00522-379803876,Fetal abdomen,1
00523-379803877,Fetal abdomen,1
00524-379803878,Fetal abdomen,1
00525-379803879,Fetal abdomen,1
00526-379803880,Fetal abdomen,1
00527-379803881,Fetal abdomen,1
00528-379803882,Fetal abdomen,1
00529-379803883,Fetal abdomen,1
00530-379803884,Fetal abdomen,1
00531-379803885,Fetal abdomen,1
00532-379803886,Fetal abdomen,1
00533-379803887,Fetal abdomen,1
00534-379803888,Fetal abdomen,1
00535-379803889,Fetal abdomen,1
00536-379803890,Fetal abdomen,1
00537-379803891,Fetal abdomen,1
00538-379803892,Fetal abdomen,1
00539-379803893,Fetal abdomen,1
00540-379803894,Fetal abdomen,1
00541-379803895,Fetal abdomen,1
00542-379803896,Fetal abdomen,1
